销售日期,分类编码,分类名称,销量(千克),平均销量(千克),销售额总和,批发额总和,平均销售单价(元/千克),平均批发价格(元/千克),成本加成比例
2020-07-01,1011010101,花叶类,205.40200000000002,11.411222222222223,1503.7896,55.09380833333333,7.3212023251964435,0.26822430323625535,26.295074446508437
2020-07-01,1011010201,花菜类,47.076,23.538,598.634,197.91814000000002,12.716331039170703,4.204225932534626,2.0246545364664397
2020-07-01,1011010402,水生根茎类,4.85,2.425,70.2838,22.39284,14.491505154639176,4.617080412371134,2.1386728972296503
2020-07-01,1011010501,茄类,35.374,17.687,176.818,72.364175,4.998529993780743,2.0456882173347655,1.443446636405376
2020-07-01,1011010504,辣椒类,76.715,8.523888888888889,759.9902,45.33950555555556,9.9066701427361,0.591012260386568,15.76220749846436
2020-07-01,1011010801,食用菌,35.365,5.894166666666667,368.602,38.323568333333334,10.422790894952636,1.083658089448136,8.618154468131687
2020-07-02,1011010101,花叶类,198.362,8.624434782608695,1409.6647,35.89985869565218,7.106525947510108,0.18098153222720167,38.26658073923628
2020-07-02,1011010201,花菜类,43.943,21.9715,546.032,172.16689,12.4259153903921,3.9179594019525297,2.171527347679917
2020-07-02,1011010402,水生根茎类,4.6,2.3,53.120799999999996,16.31562,11.548,3.5468739130434783,2.2558247863090704
2020-07-02,1011010501,茄类,32.199,16.0995,172.09199999999998,39.81343,5.344638032237026,1.2364803254759464,3.322461038900693
2020-07-02,1011010504,辣椒类,66.06400000000001,6.606400000000001,669.7044,37.68558300000001,10.137206345362072,0.5704405273674014,16.770838253981633
2020-07-02,1011010801,食用菌,48.510000000000005,9.702000000000002,605.929,70.949794,12.490806019377446,1.4625807874665016,7.540250307139722
2020-07-03,1011010101,花叶类,191.779,9.58895,1406.4065,42.090878,7.333474989440972,0.21947594887865718,32.41357003766945
2020-07-03,1011010201,花菜类,42.076,21.038,495.368,156.22958,11.773172354786576,3.7130330829926796,2.170769581535072
2020-07-03,1011010402,水生根茎类,9.572,2.393,76.69300000000001,13.42473,8.012223150856666,1.4025,4.712815080824718
2020-07-03,1011010501,茄类,35.896,17.948,196.243,71.14766,5.466987965232895,1.982049810563851,1.7582495334351123
2020-07-03,1011010504,辣椒类,64.253,6.4253,670.6646,40.182114999999996,10.43787216161113,0.6253733677804927,15.690624672195579
2020-07-03,1011010801,食用菌,42.442,8.4884,546.2950000000001,62.455726000000006,12.871565901701146,1.4715547335186845,7.7469161754680425
2020-07-04,1011010101,花叶类,236.58700000000002,14.786687500000001,1841.4,71.080943125,7.783183353269622,0.3004431482921716,24.9056776548644
2020-07-04,1011010201,花菜类,55.662,27.831,702.1859999999999,228.70220999999998,12.615177320254391,4.108767381696669,2.0703070162723827
2020-07-04,1011010402,水生根茎类,5.439,2.7195,118.75319999999999,38.114115,21.833645890788745,7.007559293987865,2.1157275985550235
2020-07-04,1011010501,茄类,57.067,28.5335,327.403,88.88043,5.7371685913049575,1.5574750731596194,2.6836342938484887
2020-07-04,1011010504,辣椒类,81.282,7.3892727272727265,826.4166,42.227382727272726,10.167276887871854,0.5195170237847584,18.570632765413034
2020-07-04,1011010801,食用菌,47.262,7.877,578.7036,57.77903,12.244585502094708,1.2225261309297109,9.015806772803215
2020-07-05,1011010101,花叶类,223.899,11.784157894736841,1573.1793,50.35834105263157,7.026289978963729,0.22491543531963776,30.239696684126383
2020-07-05,1011010201,花菜类,55.474000000000004,27.737000000000002,697.982,232.91196000000002,12.582146591195874,4.198578793669107,1.9967632404965372
2020-07-05,1011010402,水生根茎类,4.019,4.019,40.19,21.782980000000002,10.0,5.42,0.8450184501845018
2020-07-05,1011010501,茄类,61.815999999999995,12.363199999999999,411.3631,49.723492,6.654637957810276,0.8043789957292611,7.273013086047937
