日期,分类名称,最优定价(元/千克),最优补货量(千克)
2023-07-01,花叶类,5.730485623562172,8.158819936681454
2023-07-01,花菜类,12.703997288255152,9.061083885909987
2023-07-01,水生根茎类,16.72415295056846,2.305014933076356
2023-07-01,茄类,9.800484397283244,7.2267814919394215
2023-07-01,辣椒类,7.509766374708697,7.715982825576156
2023-07-01,食用菌,6.560751319254855,5.095543169462815
2023-07-02,花叶类,5.713403177622051,8.429574395713825
2023-07-02,花菜类,12.743154133738642,11.998029197691105
2023-07-02,水生根茎类,16.654772498872738,2.099427888545171
2023-07-02,茄类,9.828839279090237,6.440521109930487
2023-07-02,辣椒类,7.454931844301703,7.846847753639582
2023-07-02,食用菌,6.468183655026331,5.416772851490935
2023-07-03,花叶类,5.756638377938116,7.676410862857933
2023-07-03,花菜类,12.88521712978297,10.504593104515887
2023-07-03,水生根茎类,16.72739384775144,1.9440911944663284
2023-07-03,茄类,9.82745637776556,6.250133141504199
2023-07-03,辣椒类,7.4852043640562504,7.10885081172311
2023-07-03,食用菌,6.485291379224226,5.191539269425681
2023-07-04,花叶类,5.697417261891147,6.825757754210253
2023-07-04,花菜类,12.752403251734973,11.027275202468822
2023-07-04,水生根茎类,16.470141916782403,1.5564075297379596
2023-07-04,茄类,9.794696152270213,5.806907027039852
2023-07-04,辣椒类,7.458281162007962,6.495227787945211
2023-07-04,食用菌,6.432060207656389,4.9217817543441935
2023-07-05,花叶类,5.720209647234096,7.282283034065855
2023-07-05,花菜类,12.73314436825088,11.481255865343124
2023-07-05,水生根茎类,16.590486405496733,1.6706907905461412
2023-07-05,茄类,9.826834481759084,5.959058429119898
2023-07-05,辣椒类,7.44486453294842,6.651078770416579
2023-07-05,食用菌,6.465963197085753,5.249055001489008
2023-07-06,花叶类,5.697974820570871,7.412455650872669
2023-07-06,花菜类,12.698333636108377,12.471265415742018
2023-07-06,水生根茎类,16.4798722664948,1.8798271741182342
2023-07-06,茄类,9.820156334076522,5.694715522396353
2023-07-06,辣椒类,7.466504053058312,7.290092348215352
2023-07-06,食用菌,6.452610659184288,5.449182607639142
2023-07-07,花叶类,5.716552310889307,7.705104296014901
2023-07-07,花菜类,12.76925319856017,10.985407677609752
2023-07-07,水生根茎类,16.491836537358374,2.03669995513169
2023-07-07,茄类,9.86504643401286,5.752477071598551
2023-07-07,辣椒类,7.417429386109246,7.12393861663316
2023-07-07,食用菌,6.441164352705806,5.488520682459396
2023-07-08,花叶类,5.657179057733847,7.907177015060365
2023-07-08,花菜类,12.780281509575921,11.75006144138257
2023-07-08,水生根茎类,16.707149088537683,2.326561912397154
2023-07-08,茄类,9.880972605408779,5.541687278333079
2023-07-08,辣椒类,7.404862997418848,7.258629497327844
2023-07-08,食用菌,6.464089862542252,5.6674152432305425
2023-07-09,花叶类,5.696089141276496,7.863705286342475
2023-07-09,花菜类,12.907624690560601,12.053503703087001
2023-07-09,水生根茎类,16.472604044086243,2.19984273918349
2023-07-09,茄类,9.799391033420905,6.329421051242132
2023-07-09,辣椒类,7.379627852207913,7.362799148717298
2023-07-09,食用菌,6.506910076072326,5.366895473021236
2023-07-10,花叶类,5.715465394577505,7.434075864064768
2023-07-10,花菜类,12.854021526709122,11.363265236628775
2023-07-10,水生根茎类,16.420808504852637,2.049246624724291
2023-07-10,茄类,9.80865781573779,5.902708151111574
2023-07-10,辣椒类,7.383302518798964,7.4069581614709294
2023-07-10,食用菌,6.456508926355862,4.939753331253961
2023-07-11,花叶类,5.720838706192283,7.124644091390121
2023-07-11,花菜类,12.981647576834815,10.300380259054963
2023-07-11,水生根茎类,16.510304813429403,1.832304943929784
2023-07-11,茄类,9.82558278221582,5.9749918008895575
2023-07-11,辣椒类,7.350640769077991,6.64085564616854
2023-07-11,食用菌,6.491575194205926,5.15006942848663
2023-07-12,花叶类,5.686230318584005,7.042645393096667
2023-07-12,花菜类,12.966858573159229,11.580693811626233
2023-07-12,水生根茎类,16.47294241865696,2.000166976752234
2023-07-12,茄类,9.788597976938028,4.97888074556788
2023-07-12,辣椒类,7.32843538402262,6.865965094522583
2023-07-12,食用菌,6.457621458756957,5.395558446728567
2023-07-13,花叶类,5.69444806820314,7.205947896734992
2023-07-13,花菜类,12.958358498932034,11.766589366540227
2023-07-13,水生根茎类,16.408609547717457,1.8972741311630503
2023-07-13,茄类,9.800785040773404,5.257329503914361
2023-07-13,辣椒类,7.401740114982414,6.756570610824463
2023-07-13,食用菌,6.503660261050689,5.307556779822027
2023-07-14,花叶类,5.696402708808988,6.703520507274498
2023-07-14,花菜类,12.938469266903654,10.485782297345626
2023-07-14,水生根茎类,16.521151828573824,2.141191420224207
2023-07-14,茄类,9.79944943591112,5.306212628431944
2023-07-14,辣椒类,7.401147592853558,6.614567256769158
2023-07-14,食用菌,6.467918391635429,5.257555672954405
2023-07-15,花叶类,5.696761481473179,7.276892824668116
2023-07-15,花菜类,12.853125895464332,10.741343430095935
2023-07-15,水生根茎类,16.464535017497518,2.2756766273559355
2023-07-15,茄类,9.799492496565998,5.286968793915223
2023-07-15,辣椒类,7.331179853881992,6.8602785350090025
2023-07-15,食用菌,6.4378035608442765,5.227811913678448
