日期,分类名称,预测值_平均销量(千克),预测值_平均批发价格(元/千克),预测值_平均销售单价(元/千克),小分类编码,小分类名称,平均损耗率(%),需求弹性系数 (β)(%),补货量基准(千克)
2023-07-01,花叶类,7.391307002060031,0.1681669244169543,5.072656205063236,1011010101,花叶类,12.83,-13.272517751482242,8.479186649145383
2023-07-01,花菜类,7.930780577585798,3.0717305576149254,11.6143862970628,1011010201,花菜类,15.51,-2.6811069204345666,9.386649991224758
2023-07-01,水生根茎类,2.0237104112877287,1.1377873424804816,15.933342176417424,1011010402,水生根茎类,13.65,-3.330193209335743,2.343613678387642
2023-07-01,茄类,7.246818686981719,1.4045267739816647,7.9016561275368495,1011010501,茄类,6.68,-1.0133953000991065,7.765557958617358
2023-07-01,辣椒类,7.424488876355363,0.2877923601364898,6.201029660511561,1011010504,辣椒类,9.24,-2.532420935828169,8.180353543802736
2023-07-01,食用菌,4.860557595997273,0.399668768205566,5.567062020884663,1011010801,食用菌,9.45,-5.169579227329942,5.367816229704332
2023-07-02,花叶类,7.637999795613296,0.1691766523533001,5.054545481434718,1011010101,花叶类,12.83,-13.272517751482242,8.762188591962023
2023-07-02,花菜类,10.506749475896676,3.236310394827907,11.648385855192192,1011010201,花菜类,15.51,-2.6811069204345666,12.43549470457649
2023-07-02,水生根茎类,1.843520958722749,1.1798695276990268,15.861342937075902,1011010402,水生根茎类,13.65,-3.330193209335743,2.134940311201794
2023-07-02,茄类,6.456931021679349,1.4143364058837318,7.931915860398431,1011010501,茄类,6.68,-1.0133953000991065,6.919128827346066
2023-07-02,辣椒类,7.55486317374686,0.2837206423731919,6.141936319585779,1011010504,辣椒类,9.24,-2.532420935828169,8.324000852519678
2023-07-02,食用菌,5.170436725687527,0.3584861420229938,5.470359455104293,1011010801,食用菌,9.45,-5.169579227329942,5.710035036651052
2023-07-03,花叶类,6.9523444192127695,0.165812714402598,5.100366482734623,1011010101,花叶类,12.83,-13.272517751482242,7.9756159449498325
2023-07-03,花菜类,9.205793659944456,3.569567154750508,11.783045740064775,1011010201,花菜类,15.51,-2.6811069204345666,10.895719801094161
2023-07-03,水生根茎类,1.7070019159532988,1.2156765634788946,15.935036534563467,1011010402,水生根茎类,13.65,-3.330193209335743,1.976840666998609
