单品编码,单品名称,最优定价(元/千克),最优补货量(千克)
102900005115779,云南生菜,10.040640470198099,3.1745818793418756
102900005115908,菜心,6.594054911377425,2.4999996121901273
102900005115946,木耳菜,6.14702392838069,5.761758935988696
102900005115984,云南油麦菜,7.245718761956617,1.948975547607311
102900005116257,紫茄子(2),8.485449223164636,9.801378851749714
102900005116714,西兰花,14.0758518775267,12.714404052999443
102900005116899,净藕(1),14.585335834498292,5.454611502751919
102900005118824,高瓜(1),16.025778274887575,2.499986733060489
102900005118831,娃娃菜,7.137585715520822,9.356099962735163
102900005119975,红薯尖,6.274852587411583,4.439326266292827
102900011001691,菱角,14.054812328084022,2.2539242841289764
102900011013274,白玉菇(袋),5.72690394220434,1.070318948189338
102900011030059,云南生菜(份),5.343812431575845,27.597402745941398
102900011030097,云南油麦菜(份),4.977388388929816,19.62677064665099
102900011030110,菠菜(份),6.372542623525218,9.073127460590998
102900011030929,鲜木耳(份),4.0718453474840945,3.736845389266677
102900011031100,小米椒(份),7.105924680276014,21.297587162201584
102900011031926,虫草花(份),3.937772915842787,2.4999998689570697
102900011032022,小皱皮(份),4.317145528283694,9.92544754796589
102900011032237,青线椒(份),4.3269039422130025,1.1041178169865866
102900011032251,螺丝椒(份),6.468666282027159,10.156408919975966
102900011032343,七彩椒(2),19.08551984998529,1.3437108515016303
102900011032732,高瓜(2),15.242263198786077,1.3240572582881391
102900011032848,姜蒜小米椒组合装(小份),6.3370161213756555,6.6559287061595755
102900011033982,紫茄子(1),9.013774846490543,0.5653085861084858
102900011034026,枝江青梗散花,14.186162137126207,6.075795993066614
102900011034330,双孢菇(盒),5.84726739659638,8.330641929867689
102900011034439,青红杭椒组合装(份),5.364794147206498,2.365956436683368
102900011035078,红椒(2),17.007149765177264,2.2476601703800316
102900011035740,蟹味菇与白玉菇双拼(盒),4.553807884410666,2.0169260716950137
102900011036686,木耳菜(份),3.3935706088703084,1.1041155077331826
102900051000944,洪湖藕带,24.180798718535357,2.499981029471692
106949711300259,金针菇(盒),3.358624301005834,12.616779862008622
